OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
435,"STANTON, EDWIN M. SCHOOL",901 S 17TH ST,19146,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
436,"STEARNE, ALLEN M. SCHOOL",1655 UNITY ST,19124,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
437,"STEEL, EDWARD SCHOOL",4301 WAYNE AVE,19140,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
438,STRAWBERRY MANSION HIGH SCHOOL,3133 RIDGE AVE,19121,HIGH SCHOOL,10-12,1,DISTRICT
439,"SULLIVAN, JAMES J. SCHOOL",5300 DITMAN ST,19124,ELEMENTARY SCHOOL,K-5,1,DISTRICT
440,SWENSON ARTS/TECH HIGH SCHOOL,2750 RED LION RD,19114,HIGH SCHOOL,9-12,1,DISTRICT
441,"TAGGART, JOHN H. SCHOOL",400 W PORTER ST,19148,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
442,"TAYLOR, BAYARD SCHOOL",3698 N RANDOLPH ST,19140,ELEMENTARY SCHOOL,K-5,1,DISTRICT
443,THE LINC,122 W ERIE AVE,19140,HIGH SCHOOL,9-12,1,DISTRICT
444,THE U SCHOOL,2000 N 7TH ST,19122,HIGH SCHOOL,9-12,1,DISTRICT
445,THE WORKSHOP SCHOOL,221 S HANSON ST,19139,HIGH SCHOOL,9-12,1,DISTRICT
446,TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE,19142,MIDDLE SCHOOL,5-8,1,DISTRICT
447,VARE-WASHINGTON ELEMENTARY,1198 S 5TH ST,19147,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
448,VAUX HIGH SCHOOL,2300 W MASTER ST,19121,HIGH SCHOOL,9-11,1,DISTRICT
449,PEOPLE FOR PEOPLE,800 N BROAD ST,19130,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
450,PHILADELPHIA JUVENILE JUSTICE SERVICES CENTER,91 N 48TH ST,19139,MIDDLE/HIGH,6-12,1,DISTRICT
451,PHILADELPHIA LEARNING ACADEMY-NORTH,4224 N FRONT ST,19140,HIGH SCHOOL,8-12,1,DISTRICT
452,PHILADELPHIA LEARNING ACADEMY-SOUTH,4300 WESTMINSTER AVE,19104,HIGH SCHOOL,9-12,1,DISTRICT
453,PHILADELPHIA LEARNING ACADEMY-NORTH EOP,4224 N FRONT ST,19140,HIGH SCHOOL,8-12,1,DISTRICT
454,PHILADELPHIA LEARNING ACADEMY-SOUTH EOP,4300 WESTMINSTER AVE,19104,HIGH SCHOOL,9-12,1,DISTRICT
455,PHILADELPHIA PERFORMING ARTS-BROAD ST,2600 S BROAD ST,19145,ELEMENTARY SCHOOL,2-4,2,CHARTER
456,PHILADELPHIA ACADEMY,11000 ROOSEVELT BLVD,19116,ELEMENTARY/MIDDLE,K-8,2,CHARTER
457,PHILADELPHIA CHARTER FOR ARTS,1197 HAWORTH ST,19124,ELEMENTARY/MIDDLE,K-8,2,CHARTER
458,PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER SCHOOL,1420 CHESTNUT ST,19102,HIGH SCHOOL,9-12,2,CHARTER
459,PHILADELPHIA MONTESSORI,2227 ISLAND AVE,19142,ELEMENTARY SCHOOL,K-6,2,CHARTER
460,PHILADELPHIA OIC WORKFORCE ACADEMY,1231 N BROAD ST,19122,HIGH SCHOOL,9-12,1,CONTRACTED
461,PREPARATORY CHARTER SCHOOL,1928 POINT BREEZE AVE,19145,HIGH SCHOOL,9-12,2,CHARTER
462,RE-ENGAGEMENT CENTER,440 N BROAD ST,19130,HIGH SCHOOL,9-12,1,DISTRICT
463,RICHARD ALLEN PREPARATORY,2601 S 58TH ST,19143,MIDDLE SCHOOL,5-8,2,CHARTER
464,RUSSELL BYERS CHARTER SCHOOL,1911 ARCH ST,19103,ELEMENTARY/MIDDLE,K-8,2,CHARTER
465,SANKOFA FREEDOM ACADEMY,2501 KENSINGTON AVE,19125,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
466,SOUTH PHILADELPHIA HIGH SCHOOL EOP,2101 S BROAD ST,19148,HIGH SCHOOL,9-12,1,DISTRICT
467,SOUTHWEST LEADERSHIP ACADEMY,7101 PASCHALL AVE,19142,ELEMENTARY/MIDDLE,K-8,2,CHARTER
468,TACONY ACADEMY CHARTER SCHOOL,1330 RHAWN ST,19111,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
469,TECH FREIRE CHARTER SCHOOL,2221 N BROAD ST,19132,HIGH SCHOOL,9-12,2,CHARTER
470,UNIVERSAL ALCORN CHARTER,3200 DICKINSON ST,19146,ELEMENTARY/MIDDLE,K-8,2,CHARTER
471,UNIVERSAL AUDENRIED CHARTER,3301 TASKER ST,19145,HIGH SCHOOL,9-12,2,CHARTER
472,UNIVERSAL CHARTER @ BLUFORD,5720 MEDIA ST,19131,ELEMENTARY SCHOOL,K-6,2,CHARTER
473,UNIVERSAL CHARTER @ DAROFF,5630 VINE ST,19139,ELEMENTARY/MIDDLE,K-8,2,CHARTER
474,UNIVERSAL CREIGHTON CHARTER,5401 TABOR AVE,19120,ELEMENTARY/MIDDLE,K-8,2,CHARTER
475,UNIVERSAL INSTITUTE,801 S 15TH ST,19146,ELEMENTARY/MIDDLE,K-8,2,CHARTER
476,UNIVERSAL VARE CHARTER SCHOOL,2100 S 24TH ST,19145,MIDDLE SCHOOL,5-8,2,CHARTER
477,WEST OAK LANE CHARTER SCHOOL,7115 STENTON AVE,19138,ELEMENTARY/MIDDLE,K-8,2,CHARTER
478,WEST PHILADELPHIA ACHIEVEMENT,6701 CALLOWHILL ST,19151,ELEMENTARY SCHOOL,K-5,2,CHARTER
479,WISSAHICKON CHARTER SCHOOL,4700 WISSAHICKON AVE,19144,ELEMENTARY/MIDDLE,K-8,2,CHARTER
480,YES PHILLY,2709 N BROAD ST,19122,HIGH SCHOOL,9-12,1,CONTRACTED
481,YOUNG SCHOLARS CHARTER SCHOOL,900 N MARSHALL ST,19123,MIDDLE SCHOOL,6-8,2,CHARTER
482,YOUTHBUILD PHILADELPHIA CHARTER,1231 N BROAD ST - 3RD FLR,19122,HIGH SCHOOL,12,2,CHARTER
483,63RD ST MULTICULTURAL ACADEMY OF ACADEMIC EXCELLENCE,5828 MARKET ST,19131,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
484,CB COMMUNITY SCHOOLS,4101 FREELAND AVE,19128,,9-12,3,PRIVATE
485,CITY SCHOOL AT FAIRMOUNT,860 N 24TH ST,19130,ELEMENTARY SCHOOL,PREK-4,3,PRIVATE
486,COMMUNITY COUNCIL LEARNING ACADEMY,4224 N FRONT ST,19140,ELEMENTARY/MIDDLE/HIGH,,3,PRIVATE
487,CREATIVE MINDS CHRISTIAN ACADEMY,6000 W THOMPSON ST,19151,,,3,PRIVATE
488,KUMON MATH AND READING PHILADELPHIA,238 N 22ND ST,19103,UNGRADED,UNGRADED,3,PRIVATE
489,KUMON OF PHILADELPHIA- GRANT AVE,2550 GRANT AVE,19114,UNGRADED,UNGRADED,3,PRIVATE
490,MATHNASIUM OF ANDORRA,8500 HENRY AVE,19128,UNGRADED,UNGRADED,3,PRIVATE
491,ONE ON ONE TUTORING SERVICE,7047 GERMANTOWN AVE,19119,TUTORING,UNGRADED,3,PRIVATE
492,ROXBOROUGH CHRISTIAN SCHOOL,6301 RIDGE AVE,19128,ELEMENTARY SCHOOL,K-4,3,PRIVATE
493,SCHUYLKILL CENTER FOR ENVIRONMENTAL EDUCATION,8480 HAGYS MILL RD,19128,UNGRADED,UNGRADED,3,PRIVATE
494,YALE SCHOOL OF PHILADELPHIA,135 RECTOR ST,19127,ELEMENTARY/MIDDLE,1-8,3,PRIVATE
495,WIDENER MEMORIAL SCHOOL,1450 W OLNEY AVE,19141,ELEMENTARY/MIDDLE/HIGH,K-12,1,DISTRICT
496,"WILLARD, FRANCES E. SCHOOL",1930 E ELKHART ST,19134,ELEMENTARY SCHOOL,K-4,1,DISTRICT
497,"WILSON, WOODROW MIDDLE SCHOOL",1800 COTTMAN AVE,19111,MIDDLE SCHOOL,6-8,1,DISTRICT
498,"WRIGHT, RICHARD R. SCHOOL",2700 W DAUPHIN ST,19132,ELEMENTARY SCHOOL,K-5,1,DISTRICT
499,"ZIEGLER, WILLIAM H. SCHOOL",5935 SAUL ST,19149,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
500,AD PRIMA CHARTER SCHOOL,1922 N 63RD ST,19151,ELEMENTARY/MIDDLE,K-8,2,CHARTER
501,ALLIANCE FOR PROGRESS CHARTER,1821 N CECIL B MOORE AVE,19121,ELEMENTARY/MIDDLE,K-8,2,CHARTER
502,ANTONIA PANTOJA CHARTER SCHOOL,4101 N AMERICAN ST,19140,ELEMENTARY/MIDDLE,K-8,2,CHARTER
503,ARCHITECTURE & DESIGN CHARTER,105 S 7TH ST,19106,HIGH SCHOOL,9-12,2,CHARTER
504,ASPIRA CHARTER @ STETSON,3200 B ST,19134,MIDDLE SCHOOL,5-8,2,CHARTER
505,ASPIRA OLNEY CHARTER HIGH,100 W DUNCANNON AVE,19120,HIGH SCHOOL,9-12,2,CHARTER
506,BELMONT ELEMENTARY CHARTER,4030 BROWN ST,19104,ELEMENTARY/MIDDLE,K-11,2,CHARTER
507,BOYS LATIN OF PHILADELPHIA CHARTER,5501 CEDAR AVE,19143,MIDDLE/HIGH,6-12,2,CHARTER
508,CAMELOT ACADEMY,1435 N 26TH ST,19121,MIDDLE/HIGH,6-12,1,CONTRACTED
509,CAMELOT ACADEMY EAST,4224 N FRONT ST,19140,MIDDLE/HIGH,7-12,1,CONTRACTED
510,CHRISTOPHER COLUMBUS CHARTER,916 CHRISTIAN ST,19147,ELEMENTARY/MIDDLE,K-4,2,CHARTER
511,COMMUNITY ACADEMY OF PHILADELPHIA,1100 E ERIE AVE,19124,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
512,CROSSROADS @ HUNTING PARK,4224 N FRONT ST,19140,ELEMENTARY SCHOOL,3-6,1,DISTRICT
513,CROSSROADS ACCELERATED ACADEMY,4300 WESTMINSTER AVE,19104,MIDDLE SCHOOL,7-10,1,DISTRICT
514,DE HOSTOS CHARTER SCHOOL,6301 N 2ND ST,19120,ELEMENTARY/MIDDLE,K-8,2,CHARTER
515,DISCOVERY CHARTER SCHOOL,4700 PARKSIDE AVE,19131,ELEMENTARY/MIDDLE,K-8,2,CHARTER
516,DOUGLASS MASTERY CHARTER,2118 W NORRIS ST,19121,ELEMENTARY/MIDDLE,K-8,2,CHARTER
517,EL CENTRO DE ESTUDIANTES,4290 PENN ST,19124,HIGH SCHOOL,9-12,1,CONTRACTED
518,ESPERANZA ACADEMY CHARTER,301 W HUNTING PARK AVE,19140,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
519,EXCEL ACADEMY NORTH,1435 N 26TH ST,19121,HIGH SCHOOL,9-12,1,CONTRACTED
520,EXCEL ACADEMY SOUTH,4641 ROOSEVELT BLVD,19124,HIGH SCHOOL,9-12,1,CONTRACTED
521,MASTERY CHARTER @ SMEDLEY,1790 BRIDGE ST,19124,ELEMENTARY SCHOOL,K-6,2,CHARTER
522,MASTERY CHARTER @ WISTER,67 E BRINGHURST ST,19144,ELEMENTARY SCHOOL,K-5,2,CHARTER
